freq,Lengthening,Phase 13(deg),Phase 32 (deg),ϕ,V
100MHz,3600,-21.73134803837622,-87.13018816027524,65.39884,1.2188
100MHz,3000,-21.85451597915233,-81.26112301530604,59.40661,1.2819
100MHz,2500,-21.87050001983439,-76.17462522641446,54.30413,1.3348
100MHz,2000,-21.90213239962637,-71.11522869021496,49.2131,1.3875
100MHz,1500,-21.84561601782219,-66.09399726937753,44.24838,1.4404
100MHz,1000,-21.88053287461153,-61.04408477586475,39.16355,1.4932
100MHz,500,-21.87127486954760,-56.01945823250108,34.14818,1.5460
